play_nr	wav_name	exp_code	part_nr	trial_nr	time_transition	time_duration	code_block	code_dialogue	code_tempo	code_turn_transition	code_overlap	left_left_border	left_right_border	right_left_border	right_right_border
141	3_2_7c_525_Ja_Ar.wav	0	0	71	3864	6548	238	80	97	212	99	45	55	80	90
142	3_2_8c_525_Ja_Ar.wav	0	1	71	3903	6464	248	80	197	222	199	45	55	80	90
143	3_2_1b_525_Ar_Mi.wav	0	0	72	3763	6517	238	77	97	212	99	45	55	80	90
144	3_2_2b_525_Ar_Mi.wav	0	1	72	3865	6538	248	77	197	222	199	45	55	80	90
145	3_3_28c_525_Mi_Ro.wav	0	0	73	4105	6760	238	90	97	213	99	55	65	80	90
146	3_3_29c_525_Mi_Ro.wav	0	1	73	4185	6756	248	90	197	223	199	55	65	80	90
147	3_1_52a_525_Ro_Ja.wav	0	0	74	3973	6531	238	94	97	211	99	55	65	80	90
148	3_1_53a_525_Ro_Ja.wav	0	1	74	3993	6701	248	94	197	221	199	55	65	80	90
149	3_2_15d_525_Mi_Ko.wav	0	0	75	3825	6601	238	83	97	212	99	55	65	80	90
150	3_2_13d_525_Mi_Ko.wav	0	1	75	3819	6404	248	83	197	222	199	55	65	80	90
151	3_3_34d_525_Ja_Ro.wav	0	0	76	4195	6824	238	93	97	213	99	55	65	80	90
152	3_3_35d_525_Ja_Ro.wav	99	1	76	4186	6824	248	93	197	223	199	55	65	80	90
